Provider,PotentialFraud,DeductibleAmtPaid_mean,DeductibleAmtPaid_max,NoOfMonths_PartACov_mean,NoOfMonths_PartBCov_mean,OPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_max,OPAnnualReimbursementAmt_sum,OPAnnualDeductibleAmt_mean,OPAnnualDeductibleAmt_max,OPAnnualDeductibleAmt_sum
PRV51001,No,213.6,1068.0,12.0,12.0,2615.2,13460,65380,463.92,2700,11598
PRV51003,Yes,502.1666666666667,1068.0,11.818181818181818,11.871212121212121,2678.181818181818,31880,353520,737.1212121212121,9950,97300
PRV51004,No,2.0805369127516777,100.0,11.865771812080537,11.95973154362416,2194.8993288590605,20900,327040,622.751677852349,7410,92790
PRV51005,Yes,3.1759656652360513,200.0,11.907296137339056,11.939914163090128,2109.733905579399,97510,2457840,636.3287553648069,6330,741323
PRV51007,No,45.333333333333336,1068.0,11.833333333333334,11.833333333333334,1729.7222222222222,6060,124540,469.72222222222223,1970,33820
PRV51008,No,53.86046511627907,1068.0,12.0,12.0,2570.4651162790697,20500,110530,616.046511627907,4140,26490
PRV51011,No,23.586206896551722,1068.0,12.0,12.0,1399.3103448275863,6340,81160,366.7241379310345,1070,21270
PRV51012,No,2.0833333333333335,100.0,12.0,11.5,3793.9583333333335,33850,182110,735.2083333333334,5290,35290
PRV51013,No,5.0,90.0,12.0,12.0,3226.521739130435,31880,148420,914.7826086956521,9950,42080
PRV51014,No,4.0,70.0,12.0,12.0,1742.3333333333333,5990,52270,649.3333333333334,1730,19480
PRV51015,No,0.0,0.0,12.0,12.0,1445.0,2910,11560,263.75,550,2110
PRV51016,No,0.0,0.0,12.0,12.0,878.3333333333334,3370,5270,295.0,650,1770
PRV51017,No,2.0388349514563107,100.0,11.895145631067962,11.966990291262135,2370.990291262136,33850,1221060,689.3009708737864,9950,354990
PRV51021,Yes,122.53696498054475,1068.0,11.95330739299611,11.914396887159533,2695.0972762645915,31880,692640,770.0466926070039,9950,197902
PRV51023,No,246.4,1068.0,12.0,12.0,2475.5555555555557,17530,89120,769.4444444444445,6330,27700
PRV51024,No,248.76923076923077,1068.0,12.0,12.0,1973.076923076923,18450,76950,668.7179487179487,4880,26080
PRV51025,No,164.183908045977,1068.0,12.0,12.0,2288.9655172413795,23330,199140,621.3793103448276,8280,54060
PRV51026,No,4.473684210526316,100.0,11.68421052631579,12.0,1811.578947368421,6700,137680,680.3947368421053,2700,51710
PRV51027,No,0.0,0.0,11.773584905660377,11.962264150943396,3564.5283018867926,31650,188920,947.1698113207547,8280,50200
PRV51029,No,1.7204301075268817,90.0,11.741935483870968,11.978494623655914,1660.967741935484,11570,154470,493.1182795698925,1860,45860
PRV51030,No,510.2823529411765,1068.0,11.859649122807017,11.719298245614034,2499.1812865497077,33850,427360,665.672514619883,8280,113830
PRV51031,No,163.48108108108107,1068.0,11.935135135135136,11.972972972972974,1868.0,16290,345580,613.2432432432432,3920,113450
PRV51032,No,2.1739130434782608,40.0,11.478260869565217,12.0,1402.608695652174,4910,32260,423.9130434782609,1650,9750
PRV51035,No,47.6,1068.0,12.0,11.7,1332.0,4490,39960,439.3333333333333,2040,13180
PRV51036,No,5.071942446043166,100.0,11.863309352517986,11.43525179856115,2070.5755395683454,8330,575620,512.0863309352518,2580,142360
