,Provider,PotentialFraud,statecount_uniq,major_state,county_uniq,major_county,sum_IPAnnualReimbursementAmt,mean_IPAnnualReimbursementAmt,max_IPAnnualReimbursementAmt,sum_IPAnnualDeductibleAmtdf,mean_IPAnnualDeductibleAmt,max_IPAnnualDeductibleAmt
0,PRV51001,No,1,1,7,660,440150,17606.0,143800,22428,897.12,4272
1,PRV51003,Yes,3,1,23,340,999000,7568.181818181818,57000,122948,931.4242424242424,7208
2,PRV51004,No,9,1,28,150,648430,4351.879194630873,51500,64808,434.9530201342282,7136
3,PRV51005,Yes,4,1,26,620,4221950,3623.991416309013,144000,441724,379.16223175965666,7136
4,PRV51007,No,2,1,6,380,219600,3050.0,24600,32040,445.0,3204
5,PRV51008,No,2,1,9,550,283460,6592.093023255814,90000,26700,620.9302325581396,4272
6,PRV51011,No,1,1,9,240,256060,4414.827586206897,32000,39108,674.2758620689655,8136
7,PRV51012,No,3,1,6,140,332900,6935.416666666667,30700,40316,839.9166666666666,3204
8,PRV51013,No,2,1,8,20,167240,3635.6521739130435,36200,27292,593.304347826087,10204
9,PRV51014,No,2,1,6,330,83590,2786.3333333333335,13000,12816,427.2,2136
10,PRV51015,No,1,1,3,120,9490,1186.25,5490,2136,267.0,1068
11,PRV51016,No,1,1,3,520,0,0.0,0,0,0.0,0
12,PRV51017,No,10,25,61,320,1711200,3322.7184466019417,48990,198512,385.4601941747573,5340
13,PRV51021,Yes,4,1,34,80,1255950,4886.964980544747,90000,149776,582.7859922178989,9068
14,PRV51023,No,1,1,7,360,191530,5320.277777777777,39000,30364,843.4444444444445,6068
15,PRV51024,No,2,1,10,360,178100,4566.666666666667,24600,24564,629.8461538461538,3204
16,PRV51025,No,2,1,13,250,419650,4823.563218390805,38320,48060,552.4137931034483,3204
17,PRV51026,No,3,1,9,410,301800,3971.0526315789475,59200,35040,461.05263157894734,4068
18,PRV51027,No,2,1,5,460,330250,6231.132075471698,35160,37380,705.2830188679245,4272
19,PRV51029,No,6,1,17,10,357960,3849.032258064516,65000,38040,409.03225806451616,5136
20,PRV51030,No,2,1,14,360,1274520,7453.333333333333,57000,172608,1009.4035087719299,8136
21,PRV51031,No,4,1,29,500,1136390,6142.648648648648,74000,131332,709.9027027027028,10204
22,PRV51032,No,3,11,5,240,188280,8186.086956521739,44050,25292,1099.6521739130435,6068
23,PRV51035,No,2,1,8,380,108160,3605.3333333333335,29840,10680,356.0,2136
24,PRV51036,No,1,1,7,510,1571900,5654.3165467625895,143800,162656,585.0935251798561,13136
25,PRV51037,Yes,1,1,7,440,1811420,3989.911894273128,32270,292700,644.7136563876652,13136
26,PRV51038,No,3,1,15,410,699540,4961.276595744681,71000,88644,628.6808510638298,3204
27,PRV51040,No,2,1,10,150,681080,7919.53488372093,90000,49428,574.7441860465116,4272
28,PRV51041,No,1,1,6,250,46700,1373.5294117647059,14000,8544,251.2941176470588,2136
29,PRV51042,No,9,1,28,800,680390,4791.478873239436,143800,69420,488.8732394366197,4272
30,PRV51043,No,2,1,4,150,72150,3136.9565217391305,17900,8544,371.4782608695652,2136
31,PRV51044,No,1,1,5,420,213680,3621.6949152542375,20000,21660,367.1186440677966,2136
32,PRV51045,No,3,1,9,300,118990,3838.3870967741937,38320,16020,516.7741935483871,3204
33,PRV51046,No,1,1,6,450,223660,5885.789473684211,47240,21360,562.1052631578947,3204
34,PRV51047,No,2,1,6,260,45170,4106.363636363636,25010,7272,661.0909090909091,5136
35,PRV51048,No,1,1,9,390,160500,4223.684210526316,59200,17088,449.6842105263158,3204
36,PRV51049,No,4,1,21,410,167820,2363.6619718309857,18500,37700,530.9859154929577,13136
37,PRV51052,Yes,1,1,7,100,135260,2940.4347826086955,22000,19224,417.9130434782609,3204
38,PRV51053,No,1,10,1,450,8000,8000.0,8000,1068,1068.0,1068
39,PRV51054,No,1,1,4,300,142200,2494.7368421052633,36200,11748,206.10526315789474,2136
40,PRV51055,No,1,1,8,250,113570,5162.272727272727,35070,9612,436.90909090909093,2136
41,PRV51056,No,1,1,6,600,147610,6709.545454545455,32330,22428,1019.4545454545455,3204
42,PRV51057,No,1,1,1,590,60000,12000.0,57000,2136,427.2,1068
43,PRV51058,No,2,1,10,10,450710,5430.240963855422,71000,52128,628.0481927710844,4068
44,PRV51059,Yes,1,1,17,630,1149970,11978.854166666666,143800,83692,871.7916666666666,7136
45,PRV51060,No,2,1,15,440,158940,3784.285714285714,22000,24564,584.8571428571429,3204
46,PRV51061,No,2,1,5,550,588700,4060.0,49200,75828,522.951724137931,4272
47,PRV51062,No,1,1,12,600,2807780,7072.493702770781,80200,249912,629.5012594458439,4272
48,PRV51063,No,1,1,14,620,628630,4218.993288590604,144000,51264,344.0536912751678,3204
49,PRV51064,Yes,4,1,39,500,1459470,4816.732673267326,71100,174132,574.6930693069307,8136
50,PRV51065,No,1,1,6,290,158290,5653.214285714285,45730,20156,719.8571428571429,5204
51,PRV51066,No,1,1,5,420,120000,5000.0,65000,10612,442.1666666666667,4272
52,PRV51067,Yes,1,1,8,360,702320,12108.965517241379,143800,42720,736.551724137931,4272
53,PRV51068,No,2,1,15,360,736650,2822.4137931034484,45730,107188,410.68199233716473,7136
54,PRV51070,No,5,25,20,190,547600,5531.313131313132,48990,52332,528.6060606060606,3204
55,PRV51071,No,2,1,9,510,100700,4195.833333333333,71000,6408,267.0,2136
56,PRV51072,No,3,1,23,210,896320,4227.924528301887,68000,134412,634.0188679245283,10204
57,PRV51074,No,5,1,14,10,208600,5348.717948717948,74000,17588,450.97435897435895,3204
58,PRV51075,No,1,1,5,650,41650,2450.0,25010,3204,188.47058823529412,1068
59,PRV51076,No,1,1,7,10,137290,4734.137931034483,27000,15452,532.8275862068965,2136
60,PRV51077,Yes,1,1,4,600,301300,9130.30303030303,80200,34176,1035.6363636363637,3204
61,PRV51078,No,1,1,9,360,112870,4907.391304347826,16250,14952,650.0869565217391,2136
62,PRV51081,No,2,1,7,480,949010,4745.05,90060,84372,421.86,4272
63,PRV51082,No,1,1,6,600,230080,6767.058823529412,144000,12816,376.94117647058823,3204
64,PRV51083,No,3,1,15,10,361430,4015.8888888888887,74000,36108,401.2,5136
65,PRV51084,Yes,2,1,17,110,557700,5070.0,45000,65080,591.6363636363636,4272
66,PRV51086,No,3,1,19,340,966650,6954.3165467625895,80000,85236,613.2086330935252,4272
67,PRV51089,No,5,1,41,360,1426550,6256.798245614035,143800,138620,607.9824561403509,13136
68,PRV51090,No,1,1,3,120,5000,714.2857142857143,5000,1068,152.57142857142858,1068
69,PRV51091,No,2,1,14,360,327860,7451.363636363636,71000,31496,715.8181818181819,6068
70,PRV51093,No,2,10,4,160,42200,4688.888888888889,31000,5340,593.3333333333334,1068
71,PRV51096,No,1,1,4,80,24000,4800.0,11000,4272,854.4,2136
72,PRV51097,No,1,1,8,540,412860,3302.88,65000,49728,397.824,4272
73,PRV51098,No,1,1,2,510,62000,15500.0,36000,5340,1335.0,2136
74,PRV51100,No,1,1,2,360,78690,15738.0,33540,5340,1068.0,1068
75,PRV51101,No,1,1,3,500,27600,9200.0,13000,5340,1780.0,3204
76,PRV51102,No,1,1,2,620,178000,14833.333333333334,47000,17088,1424.0,2136
77,PRV51103,Yes,1,1,1,0,8000,1333.3333333333333,8000,1068,178.0,1068
78,PRV51104,No,1,1,1,230,33000,2750.0,28000,4272,356.0,2136
79,PRV51105,No,1,1,1,480,96580,8048.333333333333,40000,6408,534.0,2136
80,PRV51108,No,1,1,5,440,255950,13471.052631578947,29000,41504,2184.4210526315787,13136
81,PRV51109,No,1,1,2,500,23500,7833.333333333333,11600,5340,1780.0,3204
82,PRV51110,No,3,1,5,150,27280,5456.0,9280,6408,1281.6,2136
83,PRV51111,No,1,1,4,70,381640,2891.212121212121,80200,49128,372.1818181818182,2136
